ARG,Stomach,Foregut,large_intestine,Feces
BLMT,0,0,0.2794243207236842,0.12971306302521007
BRP(MBL),0.0027737402597402595,0.0030139372384937243,1.978157894736842e-4,0.42469778571428574
vanB,0,0,8.782927631578948e-4,1.752016806722689e-4
vanC,0.005243038961038961,0.0153356359832636,0.6435222220394737,0.006283138655462185
vanE,0,1.2211715481171549e-4,0.0011092861842105263,0
vanF,0.0010660779220779222,9.336443514644351e-4,0.05110326973684211,0.036763789915966384
vanG,0.08052162337662337,0.10462592468619247,6.740202735197369,3.9012495294117646
vanHA,0,0,0.015673455592105263,0.0016593613445378152
vanHB,0,0.0037172928870292886,0.04775031743421053,0.009425357142857143
vanHD,0.013205,0.003594376569037657,0.2258885279605263,0.12351621428571428
vanHF,0.026753038961038964,0.007376163179916318,0.34310873190789476,0.2759269789915966
vanHM,4.1561038961038965e-4,0.028503774058577406,0.08271893092105263,0.002529264705882353
vanHO,0.08539437662337662,0.050597665271966526,3.323075804276316,1.202449525210084
vanHP,0.09187024675324676,0.019172757322175733,0.026145245065789476,0.25429443277310926
vanI,0,0,0.01693749013157895,6.129411764705883e-5
vanRB,0,0,7.766003289473684e-4,0
vanRC,0.003134181818181818,0.010655456066945606,0.5302266299342105,0.008160050420168067
vanRG,0,0,0.010489965460526315,0.0018711806722689075
vanRI,0,0.0030127531380753137,0,0
vanSB,0,0,1.4486019736842105e-4,2.8568487394957983e-4
vanTC,0.008024428571428571,0.025744828451882844,0.9703382680921053,0.023408920168067227
vanTE,6.621168831168831e-4,0.002726765690376569,0.080907875,0.04738539915966387
vanTG,0.07579228571428571,0.1487533179916318,6.871850162828947,2.4922279159663865
vanTmL,0,0,0.011105057565789474,0.01160968487394958
vanTN,0.001432948051948052,0.0011092217573221758,0.015270657894736842,0.0059698067226890755
vanTrL,0.0010101038961038962,1.6094979079497908e-4,0.05781822532894737,0.012128084033613446
vanUG,0,6.171882845188285e-4,0.2038459457236842,0.07448014285714286
vanWB,0.10595361038961039,0.05032646025104603,2.9293423585526317,1.1332308655462184
vanWG,0.027747584415584416,0.0732859539748954,2.099443782894737,0.8573726428571429
vanWI,0.4457114545454545,0.6872623389121338,9.930548486842106,6.752093739495798
vanXA,0,0,0,0.007431890756302521
vanXB,0,0,0.005604557565789474,0.004188672268907563
vanXF,0,0.0016854267782426778,0.12485294243421052,0.07116515966386555
vanXI,0,0.0023032887029288706,0.010872026315789474,0.001333735294117647
vanXO,0,0.0034814937238493724,0.009400863486842105,0.0018721344537815125
vanXP,0,0,0.03228179769736842,0.006446172268907563
vanXYC,0.009937441558441559,0.028763267782426778,0.7077963536184211,0.012951966386554622
vanXYE,1.7353246753246755e-4,0,2.6281250000000002e-5,0.0034950966386554623
vanXYG,0.051663766233766235,0.06322982008368201,5.745056383223684,2.1002111974789917
vanXYN,8.337792207792207e-4,2.946610878661088e-4,0.005124657894736842,0.00430990756302521
vanYA,0.6532095324675324,1.0053113640167364,4.2693895953947365,9.674729974789916
vanYB,0.5193412337662338,0.8396221841004184,24.176242157894738,11.782472201680672
vanYF,0.12396822077922079,0.08279494142259414,4.378727118421053,2.514308243697479
vanYG,0.2730915324675325,0.4602610627615063,10.747326523026317,5.876178752100841
vanYM,0.8465296103896104,0.6376926945606695,5.869142194078948,4.642308260504202
