Sample,Breed,Application
CCY10A,CVD,meat_type
CCY11A,CVD,meat_type
CCY13A,CVD,meat_type
CCY17A,CVD,meat_type
CCY20A,CVD,meat_type
CCY23A,CVD,meat_type
CCY24A,CVD,meat_type
CCY25B,CVD,meat_type
CCY26A,CVD,meat_type
CCY27A,CVD,meat_type
CCY28A,CVD,meat_type
CCY30A,CVD,meat_type
CCY33B,CVD,meat_type
CCY34B,CVD,meat_type
CCY35B,CVD,meat_type
CCY36B,CVD,meat_type
CCY37A,CVD,meat_type
CCY39A,CVD,meat_type
CCY41B,CVD,meat_type
CCY42A,CVD,meat_type
CCY43A,CVD,meat_type
CCY44A,CVD,meat_type
CCY46B,CVD,meat_type
CCY47A,CVD,meat_type
CCY48A,CVD,meat_type
CCY49A,CVD,meat_type
CCY50A,CVD,meat_type
CCY6A,CVD,meat_type
CCY8A,CVD,meat_type
CCY9B,CVD,meat_type
CCH108A,LAD,dual_type
CCH111-1A,LAD,dual_type
CCH112-2A,LAD,dual_type
CCH119-1A,LAD,dual_type
CCH127-1A,LAD,dual_type
CCH150-1B,LAD,dual_type
CCH151-2A,LAD,dual_type
CCH156-3B,LAD,dual_type
CCH157-2B,LAD,dual_type
CCH162-1A,LAD,dual_type
CCH180-3A,LAD,dual_type
CCH186-1A,LAD,dual_type
CCH209A,LAD,dual_type
CCH210A,LAD,dual_type
CCH212A,LAD,dual_type
CCH221-1A,LAD,dual_type
CCH227-3A,LAD,dual_type
CCH247A,LAD,dual_type
CCH250-2A,LAD,dual_type
CCH251-1A,LAD,dual_type
CCH258A,LAD,dual_type
CCH259-3A,LAD,dual_type
CCH263-2A,LAD,dual_type
CCH277-1A,LAD,dual_type
CCH287A,LAD,dual_type
CCH294-1A,LAD,dual_type
CCH295-1A,LAD,dual_type
CCH306-2A,LAD,dual_type
CCH323-3A,LAD,dual_type
CCH324-4A,LAD,dual_type
CCH325-1A,LAD,dual_type
CCH326A,LAD,dual_type
CCH328A,LAD,dual_type
CCH340-2A,LAD,dual_type
CCH346-1A,LAD,dual_type
CCH57A,LAD,dual_type
CCH74-3A,LAD,dual_type
CCH93-1A,LAD,dual_type
CCH95-1A,LAD,dual_type
SHCC100A,SRD,dual_type
SHCC101A,SRD,dual_type
SHCC102A,SRD,dual_type
SHCC103A,SRD,dual_type
SHCC104A,SRD,dual_type
SHCC105A,SRD,dual_type
SHCC106A,SRD,dual_type
SHCC107A,SRD,dual_type
SHCC108A,SRD,dual_type
SHCC109A,SRD,dual_type
SHCC10A,SRD,dual_type
SHCC110A,SRD,dual_type
SHCC111A,SRD,dual_type
SHCC112A,SRD,dual_type
SHCC113A,SRD,dual_type
SHCC114A,SRD,dual_type
SHCC115A,SRD,dual_type
SHCC116A,SRD,dual_type
SHCC117A,SRD,dual_type
SHCC118A,SRD,dual_type
SHCC119A,SRD,dual_type
SHCC11A,SRD,dual_type
SHCC120A,SRD,dual_type
SHCC121A,SRD,dual_type
SHCC122B,SRD,dual_type
SHCC123A,SRD,dual_type
SHCC124B,SRD,dual_type
SHCC125A,SRD,dual_type
SHCC126A,SRD,dual_type
SHCC127A,SRD,dual_type
SHCC128A,SRD,dual_type
SHCC129A,SRD,dual_type
SHCC12A,SRD,dual_type
SHCC130A,SRD,dual_type
SHCC131A,SRD,dual_type
SHCC132A,SRD,dual_type
SHCC133A,SRD,dual_type
SHCC134A,SRD,dual_type
SHCC135A,SRD,dual_type
SHCC136A,SRD,dual_type
SHCC137A,SRD,dual_type
SHCC138A,SRD,dual_type
SHCC139A,SRD,dual_type
SHCC13A,SRD,dual_type
SHCC140A,SRD,dual_type
SHCC141A,SRD,dual_type
SHCC142B,SRD,dual_type
SHCC143A,SRD,dual_type
SHCC144A,SRD,dual_type
SHCC145A,SRD,dual_type
SHCC146A,SRD,dual_type
SHCC147A,SRD,dual_type
SHCC148A,SRD,dual_type
SHCC149A,SRD,dual_type
SHCC14A,SRD,dual_type
SHCC150A,SRD,dual_type
SHCC151A,SRD,dual_type
SHCC152A,SRD,dual_type
SHCC153A,SRD,dual_type
SHCC154A,SRD,dual_type
SHCC155A,SRD,dual_type
SHCC156A,SRD,dual_type
SHCC157B,SRD,dual_type
SHCC158A,SRD,dual_type
SHCC159A,SRD,dual_type
SHCC15A,SRD,dual_type
SHCC160B,SRD,dual_type
SHCC161A,SRD,dual_type
SHCC162A,SRD,dual_type
SHCC163A,SRD,dual_type
SHCC164B,SRD,dual_type
SHCC165A,SRD,dual_type
SHCC166A,SRD,dual_type
SHCC167A,SRD,dual_type
SHCC168A,SRD,dual_type
SHCC169A,SRD,dual_type
SHCC16A,SRD,dual_type
SHCC170A,SRD,dual_type
SHCC171A,SRD,dual_type
SHCC172A,SRD,dual_type
SHCC173A,SRD,dual_type
SHCC174A,SRD,dual_type
SHCC175A,SRD,dual_type
SHCC176A,SRD,dual_type
SHCC177A,SRD,dual_type
SHCC178A,SRD,dual_type
SHCC179A,SRD,dual_type
SHCC17A,SRD,dual_type
SHCC180A,SRD,dual_type
SHCC181A,SRD,dual_type
SHCC182A,SRD,dual_type
SHCC183A,SRD,dual_type
SHCC184A,SRD,dual_type
SHCC185B,SRD,dual_type
SHCC186A,SRD,dual_type
SHCC187A,SRD,dual_type
SHCC188A,SRD,dual_type
SHCC189A,SRD,dual_type
SHCC18A,SRD,dual_type
SHCC190A,SRD,dual_type
SHCC191A,SRD,dual_type
SHCC192A,SRD,dual_type
SHCC193A,SRD,dual_type
SHCC194A,SRD,dual_type
SHCC195A,SRD,dual_type
SHCC196A,SRD,dual_type
SHCC197A,SRD,dual_type
SHCC198A,SRD,dual_type
SHCC199A,SRD,dual_type
SHCC19A,SRD,dual_type
SHCC1A,SRD,dual_type
SHCC200A,SRD,dual_type
SHCC201A,SRD,dual_type
SHCC202A,SRD,dual_type
SHCC203A,SRD,dual_type
SHCC204B,SRD,dual_type
SHCC205A,SRD,dual_type
SHCC206A,SRD,dual_type
SHCC207A,SRD,dual_type
SHCC208A,SRD,dual_type
SHCC209A,SRD,dual_type
SHCC20A,SRD,dual_type
SHCC210A,SRD,dual_type
SHCC211A,SRD,dual_type
SHCC212A,SRD,dual_type
SHCC213A,SRD,dual_type
SHCC214A,SRD,dual_type
SHCC215A,SRD,dual_type
SHCC216A,SRD,dual_type
SHCC217A,SRD,dual_type
SHCC218A,SRD,dual_type
SHCC219A,SRD,dual_type
SHCC21A,SRD,dual_type
SHCC220A,SRD,dual_type
SHCC221A,SRD,dual_type
SHCC222A,SRD,dual_type
SHCC223A,SRD,dual_type
SHCC224A,SRD,dual_type
SHCC225B,SRD,dual_type
SHCC226A,SRD,dual_type
SHCC227A,SRD,dual_type
SHCC228A,SRD,dual_type
SHCC229A,SRD,dual_type
SHCC22A,SRD,dual_type
SHCC230A,SRD,dual_type
SHCC231A,SRD,dual_type
SHCC232A,SRD,dual_type
SHCC233A,SRD,dual_type
SHCC234B,SRD,dual_type
SHCC235A,SRD,dual_type
SHCC236A,SRD,dual_type
SHCC237A,SRD,dual_type
SHCC238A,SRD,dual_type
SHCC239A,SRD,dual_type
SHCC23A,SRD,dual_type
SHCC240A,SRD,dual_type
SHCC241A,SRD,dual_type
SHCC242A,SRD,dual_type
SHCC243A,SRD,dual_type
SHCC244A,SRD,dual_type
SHCC245A,SRD,dual_type
SHCC246A,SRD,dual_type
SHCC247A,SRD,dual_type
SHCC248A,SRD,dual_type
SHCC249A,SRD,dual_type
SHCC24A,SRD,dual_type
SHCC250A,SRD,dual_type
SHCC251B,SRD,dual_type
SHCC252A,SRD,dual_type
SHCC253A,SRD,dual_type
SHCC254B,SRD,dual_type
SHCC255B,SRD,dual_type
SHCC256A,SRD,dual_type
SHCC257A,SRD,dual_type
SHCC258A,SRD,dual_type
SHCC259A,SRD,dual_type
SHCC25A,SRD,dual_type
SHCC260A,SRD,dual_type
SHCC261A,SRD,dual_type
SHCC262A,SRD,dual_type
SHCC263A,SRD,dual_type
SHCC264A,SRD,dual_type
SHCC265A,SRD,dual_type
SHCC266B,SRD,dual_type
SHCC267A,SRD,dual_type
SHCC268A,SRD,dual_type
SHCC269A,SRD,dual_type
SHCC26B,SRD,dual_type
SHCC270A,SRD,dual_type
SHCC271B,SRD,dual_type
SHCC272B,SRD,dual_type
SHCC273B,SRD,dual_type
SHCC274A,SRD,dual_type
SHCC275A,SRD,dual_type
SHCC276A,SRD,dual_type
SHCC277A,SRD,dual_type
SHCC278A,SRD,dual_type
SHCC279A,SRD,dual_type
SHCC27A,SRD,dual_type
SHCC280A,SRD,dual_type
SHCC281A,SRD,dual_type
SHCC282A,SRD,dual_type
SHCC283A,SRD,dual_type
SHCC284A,SRD,dual_type
SHCC285A,SRD,dual_type
SHCC286A,SRD,dual_type
SHCC287A,SRD,dual_type
SHCC288A,SRD,dual_type
SHCC289A,SRD,dual_type
SHCC28B,SRD,dual_type
SHCC290A,SRD,dual_type
SHCC291A,SRD,dual_type
SHCC292A,SRD,dual_type
SHCC293A,SRD,dual_type
SHCC294A,SRD,dual_type
SHCC295A,SRD,dual_type
SHCC296A,SRD,dual_type
SHCC297B,SRD,dual_type
SHCC298A,SRD,dual_type
SHCC299B,SRD,dual_type
SHCC29A,SRD,dual_type
SHCC2A,SRD,dual_type
SHCC300A,SRD,dual_type
SHCC30A,SRD,dual_type
SHCC31A,SRD,dual_type
SHCC32A,SRD,dual_type
SHCC33A,SRD,dual_type
SHCC34A,SRD,dual_type
SHCC35A,SRD,dual_type
SHCC36A,SRD,dual_type
SHCC37A,SRD,dual_type
SHCC38A,SRD,dual_type
SHCC39A,SRD,dual_type
SHCC3A,SRD,dual_type
SHCC40A,SRD,dual_type
SHCC41A,SRD,dual_type
SHCC42A,SRD,dual_type
SHCC43A,SRD,dual_type
SHCC44A,SRD,dual_type
SHCC45A,SRD,dual_type
SHCC46B,SRD,dual_type
SHCC47A,SRD,dual_type
SHCC48A,SRD,dual_type
SHCC49A,SRD,dual_type
SHCC4A,SRD,dual_type
SHCC50A,SRD,dual_type
SHCC51A,SRD,dual_type
SHCC52A,SRD,dual_type
SHCC53A,SRD,dual_type
SHCC54A,SRD,dual_type
SHCC55A,SRD,dual_type
SHCC56A,SRD,dual_type
SHCC57B,SRD,dual_type
SHCC58A,SRD,dual_type
SHCC59A,SRD,dual_type
SHCC5A,SRD,dual_type
SHCC60A,SRD,dual_type
SHCC61A,SRD,dual_type
SHCC62A,SRD,dual_type
SHCC63A,SRD,dual_type
SHCC64A,SRD,dual_type
SHCC65A,SRD,dual_type
SHCC66A,SRD,dual_type
SHCC67A,SRD,dual_type
SHCC68A,SRD,dual_type
SHCC69B,SRD,dual_type
SHCC6A,SRD,dual_type
SHCC70A,SRD,dual_type
SHCC71A,SRD,dual_type
SHCC72A,SRD,dual_type
SHCC73A,SRD,dual_type
SHCC74A,SRD,dual_type
SHCC75A,SRD,dual_type
SHCC76A,SRD,dual_type
SHCC77B,SRD,dual_type
SHCC78A,SRD,dual_type
SHCC79A,SRD,dual_type
SHCC7A,SRD,dual_type
SHCC80A,SRD,dual_type
SHCC81A,SRD,dual_type
SHCC82A,SRD,dual_type
SHCC83A,SRD,dual_type
SHCC84A,SRD,dual_type
SHCC85B,SRD,dual_type
SHCC86A,SRD,dual_type
SHCC87A,SRD,dual_type
SHCC88B,SRD,dual_type
SHCC89A,SRD,dual_type
SHCC8A,SRD,dual_type
SHCC90A,SRD,dual_type
SHCC91A,SRD,dual_type
SHCC92A,SRD,dual_type
SHCC93A,SRD,dual_type
SHCC94A,SRD,dual_type
SHCC95A,SRD,dual_type
SHCC96A,SRD,dual_type
SHCC97A,SRD,dual_type
SHCC98A,SRD,dual_type
SHCC99A,SRD,dual_type
SHCC9A,SRD,dual_type
CCS15B,SXD,egg_type
CCS16B,SXD,egg_type
CCS17A,SXD,egg_type
CCS18A,SXD,egg_type
CCS19A,SXD,egg_type
CCS20A,SXD,egg_type
CCS24A,SXD,egg_type
CCS25B,SXD,egg_type
CCS26A,SXD,egg_type
CCS27A,SXD,egg_type
CCS28B,SXD,egg_type
CCS29B,SXD,egg_type
CCS30A,SXD,egg_type
CCS34A,SXD,egg_type
SRR29449363,PKD,meat_type
SRR29449362,PKD,meat_type
SRR29449361,PKD,meat_type
SRR29449360,PKD,meat_type
SRR29449359,PKD,meat_type
SRR29449358,PKD,meat_type
SRR29449379,PKD,meat_type
SRR29449378,PKD,meat_type
SRR29449381,PKD,meat_type
SRR29449380,PKD,meat_type
SRR29449369,PKD,meat_type
SRR29449364,PKD,meat_type
SRR29536181,PKD,meat_type
SRR29536177,PKD,meat_type
SRR29536176,PKD,meat_type
SRR29536175,PKD,meat_type
SRR29536180,PKD,meat_type
SRR29536174,PKD,meat_type
SRR29536178,PKD,meat_type
SRR29536172,PKD,meat_type
SRR29536171,PKD,meat_type
SRR29536170,PKD,meat_type
SRR29536191,MSD,meat_type
SRR29536169,MSD,meat_type
SRR29536168,MSD,meat_type
SRR29536167,MSD,meat_type
SRR29536166,MSD,meat_type
SRR29536165,MSD,meat_type
SRR29536164,MSD,meat_type
SRR29536163,MSD,meat_type
SRR29536189,MSD,meat_type
SRR29536188,MSD,meat_type
SRR29536190,MSD,meat_type
SRR29536179,MSD,meat_type
SRR29449920,MAL,MAL
SRR29449919,MAL,MAL
SRR29449918,MAL,MAL
SRR29449917,MAL,MAL
SRR29449916,MAL,MAL
SRR29449915,MAL,MAL
SRR29449914,MAL,MAL
SRR29536187,MAL,MAL
SRR29536186,MAL,MAL
SRR29536185,MAL,MAL
SRR29536183,MAL,MAL
SRR29536182,MAL,MAL
SRR28497695,MSD,meat_type
SRR28497696,MSD,meat_type
SRR28497697,MSD,meat_type
SRR28497698,MSD,meat_type
SRR28497699,MSD,meat_type
SRR28497700,MSD,meat_type
SRR28497701,MSD,meat_type
SRR28497702,MSD,meat_type
SRR28497703,MSD,meat_type
SRR28497704,MSD,meat_type
