ARG_type,Duck_MGE_type,Duck_Count,Duck_Count_log10
ANT(6)-Ia,transposase,29,1.4771212547196624
APH(3'')-Ib,IS91,24,1.3979400086720377
APH(3'')-Ib,integrase,7,0.9030899869919435
APH(3'')-Ib,transposase,140,2.1492191126553797
APH(3')-IIIa,transposase,58,1.7708520116421442
APH(3')-Ia,IS903,3,0.6020599913279624
APH(3')-Ia,IS91,2,0.47712125471966244
APH(3')-Ia,integrase,5,0.7781512503836436
APH(3')-Ia,transposase,232,2.367355921026019
ErmA,transposase,118,2.0755469613925306
ErmB,transposase,86,1.9395192526186185
ErmF,IS91,1,0.3010299956639812
ErmF,transposase,75,1.8808135922807914
QnrS1,IS91,1,0.3010299956639812
QnrS1,transposase,858,2.9339931638312424
TEM-1,IS91,10,1.0413926851582251
TEM-1,transposase,429,2.6334684555795866
aad(6),transposase,24,1.3979400086720377
aadA5,integrase,23,1.380211241711606
aadA5,transposase,30,1.4913616938342726
adeF,IS26,5,0.7781512503836436
adeF,IS91,5,0.7781512503836436
adeF,transposase,10,1.0413926851582251
poxtA,transposase,18,1.2787536009528289
sul1,IS91,5,0.7781512503836436
sul1,integrase,30,1.4913616938342726
sul1,transposase,114,2.060697840353612
sul2,IS26,2,0.47712125471966244
sul2,IS91,86,1.9395192526186185
sul2,transposase,129,2.113943352306837
tet(A),IS91,43,1.6434526764861874
tet(A),transposase,772,2.888179493918325
tet(B),transposase,99,2
tet(M),IS91,1,0.3010299956639812
tet(M),integrase,41,1.6232492903979006
tet(M),transposase,35,1.5563025007672873
tet(O),integrase,1,0.3010299956639812
tet(O),transposase,42,1.6334684555795864
tet(Q),IS91,1,0.3010299956639812
tet(Q),transposase,87,1.9444826721501687
tet(W),transposase,12,1.1139433523068367
