ARG_type,Human_MGE_type,Human_Count,Human_Count_log10
ANT(6)-Ia,integrase,3,0.6020599913279624
ANT(6)-Ia,transposase,28,1.462397997898956
APH(3'')-Ib,IS26,1,0.3010299956639812
APH(3'')-Ib,integrase,32,1.5185139398778875
APH(3'')-Ib,transposase,203,2.3096301674258988
APH(3')-IIIa,integrase,9,1
APH(3')-IIIa,transposase,59,1.7781512503836436
APH(3')-Ia,IS26,1,0.3010299956639812
APH(3')-Ia,IS903,1,0.3010299956639812
APH(3')-Ia,integrase,23,1.380211241711606
APH(3')-Ia,transposase,166,2.2227164711475833
ErmA,integrase,5,0.7781512503836436
ErmA,transposase,17,1.255272505103306
ErmB,IS26,1,0.3010299956639812
ErmB,integrase,12,1.1139433523068367
ErmB,transposase,107,2.03342375548695
ErmF,integrase,4,0.6989700043360189
ErmF,transposase,10,1.0413926851582251
QnrS1,IS26,1,0.3010299956639812
QnrS1,integrase,6,0.8450980400142568
QnrS1,transposase,55,1.7481880270062005
TEM-1,IS26,1,0.3010299956639812
TEM-1,IS91,1,0.3010299956639812
TEM-1,integrase,28,1.462397997898956
TEM-1,transposase,198,2.298853076409707
aad(6),integrase,4,0.6989700043360189
aad(6),transposase,51,1.7160033436347992
aadA5,IS26,1,0.3010299956639812
aadA5,integrase,9,1
aadA5,transposase,41,1.6232492903979006
adeF,IS26,1,0.3010299956639812
adeF,integrase,71,1.8573324964312685
adeF,transposase,417,2.621176281775035
poxtA,integrase,3,0.6020599913279624
poxtA,transposase,11,1.0791812460476249
sul1,IS26,1,0.3010299956639812
sul1,integrase,36,1.568201724066995
sul1,transposase,171,2.2355284469075487
sul2,IS26,1,0.3010299956639812
sul2,integrase,25,1.414973347970818
sul2,transposase,158,2.2013971243204513
tet(A),IS26,1,0.3010299956639812
tet(A),integrase,6,0.8450980400142568
tet(A),transposase,104,2.0211892990699383
tet(B),IS26,1,0.3010299956639812
tet(B),IS903,1,0.3010299956639812
tet(B),integrase,6,0.8450980400142568
tet(B),transposase,83,1.9242792860618816
tet(M),IS26,1,0.3010299956639812
tet(M),integrase,13,1.146128035678238
tet(M),transposase,85,1.9344984512435677
tet(O),integrase,1,0.3010299956639812
tet(O),transposase,25,1.414973347970818
tet(Q),integrase,7,0.9030899869919435
tet(Q),transposase,8,0.9542425094393249
tet(W),integrase,3,0.6020599913279624
tet(W),transposase,18,1.2787536009528289
