KEGG_info,group,mean_abundance,se_abundance,sd_abundance,max_abundance,letter
K02563|murG,G/G,144.28455401333332,3.586594201778302,31.060816918059807,440.56222080000003,b
K02563|murG,G/A,136.78651946103895,2.423452229756244,30.074251267923838,440.56222080000003,a
K02563|murG,A/A,144.3234408358209,2.8472732695535687,23.30593614921864,440.56222080000003,b
K03814|mtgA,G/G,24.311638533333333,1.394794459992629,12.079274354114148,104.520494,a
K03814|mtgA,G/A,18.660408655844154,0.5933449251334995,7.363216880411606,104.520494,b
K03814|mtgA,A/A,23.364876731343283,1.1709463895148107,9.584609275129093,104.520494,a
K06153|bacA,G/G,217.3946018,4.389208585472841,38.01166137528242,531.2307091,b
K06153|bacA,G/A,206.4869047077922,3.2310500200490706,40.09627628268118,531.2307091,a
K06153|bacA,A/A,220.4994897761194,3.385540024591673,27.711839424576574,531.2307091,b
K07259|dacB,G/G,31.436610333333334,2.393083793871898,20.724713588779068,181.79419310000003,a
K07259|dacB,G/A,23.30738987012987,0.9918502059006752,12.308537360936214,181.79419310000003,b
K07259|dacB,A/A,29.74918828358209,1.564349065344908,12.804748958197019,181.79419310000003,a
