Phylum,Total_MAGs
p__Actinomycetota,1002
p__Bacillota,36808
p__Bacteroidota,6807
p__Campylobacterota,144
p__Chloroflexota,13
p__Cyanobacteriota,614
p__Deferribacterota,352
p__Desulfobacterota,545
p__Elusimicrobiota,535
p__Eremiobacterota,8
p__Fusobacteriota,274
p__Gemmatimonadota,1
p__Methanobacteriota,28
p__Patescibacteria,59
p__Planctomycetota,3
p__Pseudomonadota,4010
p__Spirochaetota,502
p__Synergistota,35
p__Thermoplasmatota,3
p__Thermoproteota,3
p__Verrucomicrobiota,90
p__unclassified Bacteria phylum,2
