phylum,Total_orfs
p__Acidobacteriota,108
p__Actinomycetota,26285
p__Aquificota,22
p__Armatimonadota,24
p__Artverviricota,1
p__Atribacterota,10
p__Bacillota,204831
p__Bacteroidota,48723
p__Bdellovibrionota,36
p__Caldisericota,3
p__Campylobacterota,3574
p__Candidatus Absconditibacteriota,1
p__Candidatus Nanohalarchaeota,4
p__Candidatus Omnitrophota,1
p__Candidatus Saccharibacteria,102
p__Chlamydiota,57
p__Chlorobiota,67
p__Chloroflexota,84
p__Cressdnaviricota,1
p__Cyanobacteriota,796
p__Deferribacterota,1741
p__Deinococcota,259
p__Dictyoglomota,1
p__Duplornaviricota,1
p__Elusimicrobiota,94
p__Fusobacteriota,1950
p__Gemmatimonadota,18
p__Ignavibacteriota,2
p__Kitrinoviricota,3
p__Methanobacteriota,389
p__Mycoplasmatota,582
p__Myxococcota,261
p__Nanobdellota,5
p__Negarnaviricota,5
p__Nitrososphaerota,13
p__Nitrospinota,1
p__Nitrospirota,30
p__Nucleocytoviricota,21
p__Peploviricota,1
p__Planctomycetota,130
p__Promethearchaeota,11
p__Pseudomonadota,42856
p__Rhodothermota,8
p__Spirochaetota,4851
p__Synergistota,92
p__Thermodesulfobacteriota,2872
p__Thermomicrobiota,4
p__Thermoplasmatota,5
p__Thermoproteota,69
p__Thermotogota,64
p__Uroviricota,60
p__Verrucomicrobiota,139
p__unclassified Bacteria phylum,21864
